,Lift,Toilets,Water Tap,Electricity,Attached Bathroom,Water Harvesting,Cable Connection,Assessment Number
14210,No,No,Yes,Yes,No,No,No,1086295777
14211,No,No,Yes,Yes,No,No,No,1086295782
14212,No,No,Yes,Yes,No,No,No,1086295783
14213,No,No,Yes,Yes,No,No,No,1086295788
14214,No,No,Yes,Yes,No,No,No,1086295797
14215,No,No,Yes,Yes,No,No,No,1086295799
14216,No,No,Yes,Yes,No,No,No,1086295802
14217,No,No,Yes,Yes,No,No,No,1086295814
14218,No,No,Yes,Yes,No,No,No,1086295967
14219,No,No,Yes,Yes,No,No,No,1086295889
14220,No,Yes,Yes,Yes,Yes,No,No,1086295894
14221,No,Yes,Yes,Yes,Yes,No,No,1086295914
14222,No,No,Yes,Yes,No,No,No,1086295919
14223,No,No,Yes,Yes,No,No,No,1086295924
14224,No,Yes,Yes,Yes,Yes,No,No,1086295934
